文件路径,文件名,发票号码,发票日期,销售方,采购方,合计金额,项目内容
downloads/25359134169000052039.pdf,25359134169000052039.pdf,25359134169000052039,2025-03-19,中国铁路祝您旅途愉快,中国铁路祝您旅途愉快,35.5,铁路旅客运输
downloads/25369125403000228801.pdf,25369125403000228801.pdf,25369125403000228801,2025-03-06,中国铁路祝您旅途愉快,杭州趣链科技有限公司,296.0,铁路旅客运输
downloads/25429165818000355594.pdf,25429165818000355594.pdf,25429165818000355594,2025-03-03,中国铁路祝您旅途愉快,杭州趣链科技有限公司,377.0,铁路旅客运输
downloads/25429165818000355594_1.pdf,25429165818000355594_1.pdf,25429165818000355594,2025-03-03,中国铁路祝您旅途愉快,杭州趣链科技有限公司,377.0,铁路旅客运输
downloads/25429165818000393965.pdf,25429165818000393965.pdf,25429165818000393965,2025-03-06,中国铁路祝您旅途愉快,杭州趣链科技有限公司,57.5,铁路旅客运输
downloads/25429165818000508972.pdf,25429165818000508972.pdf,25429165818000508972,2025-03-19,中国铁路祝您旅途愉快,杭州趣链科技有限公司,556.0,铁路旅客运输
downloads/25429165818000508973.pdf,25429165818000508973.pdf,25429165818000508973,2025-03-19,中国铁路祝您旅途愉快,杭州趣链科技有限公司,57.5,铁路旅客运输
downloads/25429165848000423011.pdf,25429165848000423011.pdf,25429165848000423011,2025-02-20,中国铁路祝您旅途愉快,杭州趣链科技有限公司,404.5,铁路旅客运输
downloads/25429165848000614665.pdf,25429165848000614665.pdf,25429165848000614665,2025-03-06,中国铁路祝您旅途愉快,杭州趣链科技有限公司,377.0,铁路旅客运输
downloads/25429165848000790553.pdf,25429165848000790553.pdf,25429165848000790553,2025-03-19,中国铁路祝您旅途愉快,中国铁路祝您旅途愉快,377.0,铁路旅客运输
downloads/25432000000022014229.pdf,25432000000022014229.pdf,25432000000022014229,2025-02-19,娄底市娄星区老堂屋城南店,杭州趣链科技有限公司,146.0,餐饮服务餐饮费
downloads/25432000000022020617-杭州趣链科技有限公司.pdf,25432000000022020617-杭州趣链科技有限公司.pdf,25432000000022020617,2025-02-19,娄底市娄星区萝卜餐饮店,杭州趣链科技有限公司,240.0,餐饮服务餐饮费
downloads/25432000000029033553-杭州趣链物联科技有限公司.pdf,25432000000029033553-杭州趣链物联科技有限公司.pdf,25432000000029033553,2025-03-06,娄底星奕酒店管理有限公司,杭州趣链物联科技有限公司,507.0,住宿服务住宿服务
downloads/25432000000029373425-杭州趣链科技有限公司.pdf,25432000000029373425-杭州趣链科技有限公司.pdf,25432000000029373425,2025-03-06,娄底市娄星区萝卜餐饮店,杭州趣链科技有限公司,1018.0,餐饮服务餐饮费
downloads/25432000000031789815.pdf,25432000000031789815.pdf,25432000000031789815,2025-03-12,湖南曾小厨餐饮管理有限公司贤童店,杭州趣链科技有限公司,80.0,餐饮服务餐饮费
downloads/25439122799000011090.pdf,25439122799000011090.pdf,25439122799000011090,2025-03-19,中国铁路祝您旅途愉快,中国铁路祝您旅途愉快,339.0,铁路旅客运输
downloads/25439165660000008536.pdf,25439165660000008536.pdf,25439165660000008536,2025-03-03,中国铁路祝您旅途愉快,中国铁路祝您旅途愉快,12.0,铁路旅客运输
downloads/25439165660000008536_1.pdf,25439165660000008536_1.pdf,25439165660000008536,2025-03-03,中国铁路祝您旅途愉快,中国铁路祝您旅途愉快,12.0,铁路旅客运输
downloads/25439165666000013950.pdf,25439165666000013950.pdf,25439165666000013950,2025-03-03,中国铁路祝您旅途愉快,杭州趣链科技有限公司,86.5,铁路旅客运输
downloads/25439165666000013950_1.pdf,25439165666000013950_1.pdf,25439165666000013950,2025-03-03,中国铁路祝您旅途愉快,杭州趣链科技有限公司,86.5,铁路旅客运输
downloads/25439165666000015358.pdf,25439165666000015358.pdf,25439165666000015358,2025-03-06,中国铁路祝您旅途愉快,中国铁路祝您旅途愉快,379.5,铁路旅客运输
downloads/25439165666000019624.pdf,25439165666000019624.pdf,25439165666000019624,2025-03-19,中国铁路祝您旅途愉快,杭州趣链科技有限公司,96.5,铁路旅客运输
downloads/25442000000101203423.pdf,25442000000101203423.pdf,25442000000101203423,2025-02-24,广州寿司郎餐饮有限公司,杭州趣链科技有限公司,336.0,餐饮服务餐饮服务
downloads/25512000000059075953.pdf,25512000000059075953.pdf,25512000000059075953,2025-03-16,高新区盘烤一烧烤肉店,杭州趣链科技有限公司,479.0,餐饮服务餐饮费
downloads/25949134178000153214.pdf,25949134178000153214.pdf,25949134178000153214,2025-03-19,中国铁路祝您旅途愉快,杭州趣链科技有限公司,123.0,铁路旅客运输
downloads/25959165876000012546.pdf,25959165876000012546.pdf,25959165876000012546,2025-03-19,中国铁路祝您旅途愉快,杭州趣链科技有限公司,186.5,铁路旅客运输
downloads/dzfp_25432000000031411143_娄底市金盾印章有限公司_20250311151550.pdf,dzfp_25432000000031411143_娄底市金盾印章有限公司_20250311151550.pdf,25432000000031411143,2025-03-11,湖南链城数字科技有限公司,杭州趣链科技有限公司,655.0,文具印章
downloads/dzfp_25432000000032177192_杭州趣链科技有限公司_20250313093318.pdf,dzfp_25432000000032177192_杭州趣链科技有限公司_20250313093318.pdf,25432000000032177192,2025-03-13,娄底市中税通财税咨询有限公司,杭州趣链科技有限公司,500.0,经纪代理服务代办费
downloads/报销/2025-03-28-杭州安朵酒店管理有限公司-537.00-25332000000124103793.pdf,2025-03-28-杭州安朵酒店管理有限公司-537.00-25332000000124103793.pdf,25332000000124103793,2025-03-28,杭州安朵酒店管理有限公司,杭州趣链科技有限公司,537.0,住宿服务住宿费
downloads/报销/invoices_20250326162847/2025-03-03-湖南清泉华美达国际酒店有限公司-900.00-25432000000027470610.pdf,2025-03-03-湖南清泉华美达国际酒店有限公司-900.00-25432000000027470610.pdf,25432000000027470610,2025-03-03,中国建设银行股份有限公司娄底市分行营业部,杭州趣链科技有限公司,900.0,住宿服务住宿
